iter	Passed	Remaining
640	1494	837
641	1497	834
642	1498	831
643	1499	828
644	1501	826
645	1502	823
646	1503	820
647	1507	819
648	1509	816
649	1511	813
650	1512	810
651	1514	808
652	1515	805
653	1516	802
654	1518	799
655	1520	797
656	1523	795
657	1524	792
658	1526	789
659	1527	786
660	1528	784
661	1530	781
662	1532	779
663	1534	776
664	1535	773
665	1537	770
666	1539	768
667	1540	765
668	1541	762
669	1543	760
670	1545	757
671	1547	755
672	1549	752
673	1550	749
674	1551	747
675	1553	744
676	1554	741
677	1558	740
678	1560	737
679	1562	735
680	1563	732
681	1564	729
682	1565	726
683	1567	724
684	1571	722
685	1574	720
686	1575	717
687	1577	715
688	1578	712
689	1579	709
690	1582	707
691	1584	705
692	1585	702
693	1586	699
694	1588	697
695	1589	694
696	1592	692
697	1594	689
698	1595	687
699	1597	684
700	1598	681
701	1599	679
702	1604	677
703	1608	676
704	1609	673
705	1610	670
706	1611	667
707	1612	665
708	1616	663
709	1621	662
710	1623	659
711	1624	657
712	1625	654
713	1627	651
714	1631	650
715	1634	648
716	1635	645
717	1637	643
718	1639	640
719	1643	639
720	1645	636
721	1648	634
722	1657	635
723	1659	632
724	1660	629
725	1661	627
726	1663	624
727	1666	622
728	1669	620
729	1671	618
730	1673	615
731	1674	613
732	1675	610
733	1677	607
734	1681	606
735	1683	603
736	1685	601
737	1686	598
738	1687	596
739	1690	593
740	1695	592
741	1696	590
742	1698	587
743	1699	584
744	1701	582
745	1703	580
746	1706	578
747	1708	575
748	1709	573
749	1711	570
750	1712	567
751	1717	566
752	1719	563
753	1722	562
754	1724	559
755	1731	558
756	1733	556
757	1736	554
758	1746	554
759	1747	551
760	1750	549
761	1751	547
762	1754	544
763	1756	542
764	1759	540
765	1761	538
766	1765	536
767	1766	533
768	1769	531
769	1772	529
770	1775	527
771	1777	524
772	1815	533
773	1817	530
774	1819	528
775	1820	525
776	1825	523
777	1832	522
778	1834	520
779	1836	517
780	1837	515
781	1840	513
782	1841	510
783	1843	507
784	1845	505
785	1847	503
786	1850	500
787	1853	498
788	1855	496
789	1857	493
790	1860	491
791	1862	489
792	1863	486
793	1865	483
794	1866	481
795	1875	480
796	1876	477
797	1877	475
798	1879	472
799	1881	470
800	1888	469
801	1891	466
802	1892	464
803	1894	461
804	1903	461
805	1905	458
806	1907	456
807	1908	453
808	1918	452
809	1919	450
810	1920	447
811	1922	445
812	1923	442
813	1930	441
814	1932	438
815	1933	436
816	1935	433
817	1937	430
818	1946	430
819	1948	427
820	1949	425
821	1952	422
822	1955	420
823	1957	418
824	1958	415
825	1960	412
826	1967	411
827	1969	409
828	1970	406
829	1972	404
830	1974	401
831	1979	399
832	1981	397
833	1983	394
834	1986	392
835	1987	389
836	1990	387
837	1992	385
838	1994	382
839	1995	380
840	2001	378
841	2003	375
842	2004	373
843	2006	370
844	2008	368
845	2012	366
846	2014	363
847	2015	361
848	2017	358
849	2019	356
850	2027	355
851	2029	352
852	2031	350
853	2032	347
854	2045	346
855	2048	344
856	2054	342
857	2057	340
858	2058	337
859	2061	335
860	2063	333
861	2069	331
862	2071	328
863	2073	326
864	2075	323
865	2076	321
866	2082	319
867	2084	316
868	2085	314
869	2087	311
870	2088	309
871	2090	306
872	2094	304
873	2096	302
874	2097	299
875	2099	297
876	2101	294
877	2102	292
878	2103	289
879	2108	287
880	2110	285
881	2111	282
882	2113	280
883	2116	277
884	2123	275
885	2125	273
886	2127	270
887	2129	268
888	2131	266
889	2138	264
890	2140	261
891	2142	259
892	2144	256
893	2146	254
894	2149	252
895	2151	249
896	2153	247
897	2155	244
898	2160	242
899	2162	240
900	2164	237
901	2166	235
902	2168	232
903	2172	230
904	2174	228
905	2176	225
906	2178	223
907	2180	220
908	2184	218
909	2186	216
910	2188	213
911	2189	211
912	2191	208
913	2194	206
914	2195	203
915	2197	201
916	2198	198
917	2200	196
918	2201	194
919	2202	191
920	2203	189
921	2207	186
922	2209	184
923	2210	181
924	2212	179
925	2213	176
926	2214	174
927	2216	171
928	2218	169
929	2221	167
930	2222	164
931	2224	162
932	2225	159
933	2227	157
934	2228	154
935	2229	152
936	2232	150
